Feature Type,Feature Number,Morph Level,Key,Response Time,participant
app,1,55,right,1.494434833526611,sub1
app,1,88,right,0.3030838966369629,sub1
app,1,22,left,0.4465813636779785,sub1
app,1,99,right,0.2237303256988525,sub1
app,1,77,right,0.2345383167266845,sub1
app,1,66,right,0.556781530380249,sub1
app,1,66,right,0.2328667640686035,sub1
app,1,0,left,0.2354264259338379,sub1
app,1,99,right,0.244985818862915,sub1
app,1,11,left,0.0777981281280517,sub1
app,1,88,right,0.2466552257537841,sub1
app,1,99,right,0.2726972103118896,sub1
app,1,66,right,0.249652624130249,sub1
app,1,33,left,6.026733875274658,sub1
app,1,44,right,0.8976383209228516,sub1
app,1,33,left,0.3535237312316894,sub1
app,1,77,right,0.4226489067077636,sub1
app,1,55,right,0.561438798904419,sub1
app,1,66,right,0.271550178527832,sub1
app,1,44,right,1.829998254776001,sub1
app,1,44,right,0.2580389976501465,sub1
app,1,77,right,0.1881816387176513,sub1
app,1,66,right,0.1683647632598877,sub1
app,1,66,right,0.2347517013549804,sub1
app,1,33,left,1.3181166648864746,sub1
app,1,11,left,0.2440626621246338,sub1
app,1,22,left,0.2458765506744384,sub1
app,1,0,left,0.2315850257873535,sub1
app,1,77,right,0.234138011932373,sub1
app,1,33,left,0.8846497535705566,sub1
app,1,33,right,0.4053380489349365,sub1
app,1,88,right,0.2699990272521972,sub1
app,1,0,left,0.2563421726226806,sub1
app,1,22,left,0.2252275943756103,sub1
app,1,44,right,0.8122029304504395,sub1
app,1,88,right,0.2797231674194336,sub1
app,1,66,right,0.2236528396606445,sub1
app,1,88,right,0.4176266193389892,sub1
app,1,33,left,2.3870718479156494,sub1
app,1,88,right,0.2182579040527343,sub1
app,1,33,right,0.7396636009216309,sub1
app,1,55,right,0.264986515045166,sub1
app,1,88,right,0.2185165882110595,sub1
app,1,0,left,0.2454791069030761,sub1
app,1,0,left,0.1991868019104004,sub1
app,1,55,right,0.6187994480133057,sub1
app,1,33,left,0.3006622791290283,sub1
app,1,55,right,0.4509251117706299,sub1
app,1,22,left,0.156982421875,sub1
app,1,44,right,0.2984662055969238,sub1
app,1,22,left,0.4733071327209472,sub1
app,1,99,right,0.2191042900085449,sub1
app,1,55,right,0.2619216442108154,sub1
app,1,77,right,0.2467293739318847,sub1
app,1,11,left,0.2321507930755615,sub1
app,1,0,left,0.2661254405975342,sub1
app,1,0,left,0.2520596981048584,sub1
app,1,77,right,0.2048549652099609,sub1
app,1,77,right,0.272411584854126,sub1
app,1,55,right,0.2243039608001709,sub1
app,1,99,right,0.2583630084991455,sub1
app,1,11,left,0.3235135078430176,sub1
app,1,33,left,1.38519287109375,sub1
app,1,77,right,0.3424000740051269,sub1
app,1,99,right,0.2046267986297607,sub1
app,1,99,right,0.2874541282653808,sub1
app,1,55,right,0.2788856029510498,sub1
app,1,22,left,0.5424256324768066,sub1
app,1,11,left,0.2210841178894043,sub1
app,1,88,right,0.4947428703308105,sub1
app,1,66,right,0.4641280174255371,sub1
app,1,88,right,0.2811737060546875,sub1
app,1,88,right,0.3529980182647705,sub1
app,1,11,left,0.2553579807281494,sub1
app,1,99,right,0.2634460926055908,sub1
app,1,22,left,0.9133687019348145,sub1
app,1,44,right,1.896833419799805,sub1
app,1,22,left,0.3141202926635742,sub1
app,1,33,left,0.808610200881958,sub1
app,1,44,right,0.4043850898742676,sub1
app,1,11,left,0.2958405017852783,sub1
app,1,44,right,0.3673510551452636,sub1
app,1,77,right,0.2119014263153076,sub1
app,1,22,left,0.3589999675750732,sub1
app,1,22,left,0.2770199775695801,sub1
app,1,77,right,1.0042033195495603,sub1
app,1,11,left,0.3672666549682617,sub1
app,1,55,right,0.3875277042388916,sub1
app,1,0,left,0.2964925765991211,sub1
app,1,66,right,0.456040620803833,sub1
app,1,44,right,0.2736225128173828,sub1
app,1,66,right,0.2494816780090332,sub1
app,1,99,right,0.2178547382354736,sub1
app,1,11,left,0.2693915367126465,sub1
app,1,55,right,0.4624156951904297,sub1
app,1,0,left,0.215019941329956,sub1
app,1,99,right,0.266944408416748,sub1
app,1,44,right,0.3621511459350586,sub1
app,1,0,left,0.3121609687805176,sub1
app,1,11,left,0.2798957824707031,sub1
app,11,99,right,0.0685958862304687,sub1
app,11,55,right,0.8617343902587891,sub1
app,11,11,left,0.2712926864624023,sub1
app,11,33,left,0.8230531215667725,sub1
app,11,77,right,0.2738294601440429,sub1
app,11,33,right,0.9542510509490968,sub1
app,11,22,left,0.2251710891723632,sub1
app,11,99,right,0.2503340244293213,sub1
app,11,66,right,0.2187802791595459,sub1
app,11,99,right,0.254368782043457,sub1
app,11,44,right,0.6312716007232666,sub1
app,11,0,left,0.2567532062530517,sub1
app,11,88,right,0.2592442035675049,sub1
app,11,22,left,0.3165874481201172,sub1
app,11,44,right,0.5953857898712158,sub1
app,11,33,right,1.9842467308044436,sub1
app,11,99,right,0.2691123485565185,sub1
app,11,88,right,0.2531845569610595,sub1
app,11,44,right,0.3006789684295654,sub1
app,11,11,left,0.2448151111602783,sub1
app,11,66,right,0.2546784877777099,sub1
app,11,44,left,0.2882289886474609,sub1
app,11,11,left,0.2718417644500732,sub1
app,11,44,left,0.2958128452301025,sub1
app,11,55,right,0.4082024097442627,sub1
app,11,77,right,0.235377550125122,sub1
app,11,55,right,0.1980760097503662,sub1
app,11,66,right,0.2573757171630859,sub1
app,11,99,right,0.3215968608856201,sub1
app,11,11,left,0.2884767055511474,sub1
app,11,55,right,1.4568278789520264,sub1
app,11,22,left,0.2819867134094238,sub1
app,11,66,right,0.40248703956604,sub1
app,11,55,right,0.3812990188598633,sub1
app,11,88,right,0.3229210376739502,sub1
app,11,66,right,0.3131942749023437,sub1
app,11,88,right,0.2794094085693359,sub1
app,11,22,left,0.2658114433288574,sub1
app,11,55,left,0.5153226852416992,sub1
