thisRow.t,notes,Feature Type,Feature Number,Morph Level,Key,Response Time,participant,session,date,expName,psychopyVersion,frameRate,
,,app,1,55,right,1.4944348335266113,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,88,right,0.3030838966369629,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,22,left,0.4465813636779785,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,99,right,0.22373032569885254,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,77,right,0.23453831672668457,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,66,right,0.556781530380249,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,66,right,0.23286676406860352,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,0,left,0.2354264259338379,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,99,right,0.24498581886291504,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,11,left,0.07779812812805176,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,88,right,0.24665522575378418,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,99,right,0.27269721031188965,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,66,right,0.24965262413024902,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,33,left,6.026733875274658,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,44,right,0.8976383209228516,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,33,left,0.35352373123168945,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,77,right,0.42264890670776367,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,55,right,0.561438798904419,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,66,right,0.27155017852783203,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,44,right,1.829998254776001,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,44,right,0.2580389976501465,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,77,right,0.18818163871765137,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,66,right,0.1683647632598877,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,66,right,0.23475170135498047,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,33,left,1.3181166648864746,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,11,left,0.2440626621246338,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,22,left,0.24587655067443848,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,0,left,0.23158502578735352,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,77,right,0.23413801193237305,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,33,left,0.8846497535705566,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,33,right,0.4053380489349365,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,88,right,0.26999902725219727,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,0,left,0.25634217262268066,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,22,left,0.22522759437561035,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,44,right,0.8122029304504395,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,88,right,0.2797231674194336,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,66,right,0.22365283966064453,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,88,right,0.41762661933898926,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,33,left,2.3870718479156494,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,88,right,0.21825790405273438,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,33,right,0.7396636009216309,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,55,right,0.264986515045166,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,88,right,0.21851658821105957,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,0,left,0.24547910690307617,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,0,left,0.1991868019104004,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,55,right,0.6187994480133057,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,33,left,0.3006622791290283,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,55,right,0.4509251117706299,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,22,left,0.156982421875,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,44,right,0.29846620559692383,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,22,left,0.47330713272094727,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,99,right,0.21910429000854492,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,55,right,0.26192164421081543,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,77,right,0.24672937393188477,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,11,left,0.23215079307556152,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,0,left,0.2661254405975342,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,0,left,0.2520596981048584,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,77,right,0.20485496520996094,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,77,right,0.272411584854126,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,55,right,0.2243039608001709,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,99,right,0.2583630084991455,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,11,left,0.3235135078430176,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,33,left,1.38519287109375,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,77,right,0.34240007400512695,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
